DateTime,AddedIPs,RemovedIPs
1532034122,6,0
1532034722,3,0
1532035322,17,0
1532035921,12,0
1532036522,7,0
1532037722,3,0
1532039581,1,0
1532040122,1,0
1532041322,16,0
1532041922,6,0
1532043181,15,0
1532043721,4,0
1532044321,5,0
1532044922,8,0
1532045523,4,0
1532046123,3,0
1532047321,1,0
1532048522,4,0
1532049122,2,0
1532049723,16,0
1532050322,2,0
1532050922,14,0
1532051522,4,0
1532052122,9,0
1532053321,4,0
1532053981,3,0
1532054521,9,0
1532055122,2,0
1532055721,3,0
1532056322,3,0
1532056922,3,0
1532057522,3,0
1532058122,4,0
1532058722,15,0
1532059322,11,0
1532060522,16,0
1532061722,7,0
1532062322,11,0
1532062921,1,0
1532064121,6,0
1532064722,5,0
1532065321,5,0
1532065921,6,0
1532066522,21,0
1532067122,18,0
1532067723,5,0
1532068922,10,0
1532069522,6,0
1532070121,8,0
1532070722,9,0
1532071921,2,0
1532072521,6,0
1532073122,4,0
1532074922,5,0
1532075522,10,0
1532076122,4,0
1532076722,3,0
1532077323,3,0
1532078523,4,1
1532079722,6,0
1532080921,1,0
1532081522,10,0
1532082122,2,0
1532083322,6,0
1532083922,1,0
1532084522,12,0
1532085122,2,0
1532085722,11,0
1532086923,2,0
1532087522,3,0
1532088124,6,0
1532088722,2,0
1532089322,2,0
1532090522,1,1
1532091722,13,0
1532092322,3,0
1532092922,3,0
1532094122,10,1
1532095322,12,0
1532095922,1,0
1532096522,7,0
1532097722,6,0
1532098922,8,0
1532100122,2,0
1532100782,8,0
1532101322,5,0
1532102522,3,0
1532103121,14,0
1532103722,7,0
1532104922,11,0
1532105522,11,0
1532106122,2,0
1532106721,3,0
1532107321,1,0
1532107982,8,0
1532108522,1,0
1532109722,1,0
1532110923,45,0
1532112121,39,0
1532113322,42,0
1532114522,18,0
1532115182,2,0
1532115722,48,0
1532116322,7,1
1532116921,36,0
1532117522,18,0
1532118122,16,1
1532119322,23,0
1532119922,1,0
1532120522,12,0
1532121122,14,0
1532121721,14,1
1532122381,17,0
1532122922,14,0
1532124121,14,0
1532125322,22,0
1532126521,8,0
1532127722,11,0
1532128321,14,0
1532128922,13,0
1532130122,8,0
1532131322,5,0
1532131923,2,0
1532132522,14,0
1532133722,17,0
1532134922,4,0
1532136122,14,0
1532136722,5,0
1532137322,9,0
1532137921,4,0
1532138522,4,0
1532139721,12,0
1532140322,5,0
1532140922,6,0
1532141521,1,0
1532142122,14,0
1532143323,13,0
1532143981,6,0
1532144522,10,0
1532145121,5,0
1532145722,11,0
1532146922,15,0
1532147581,4,0
1532148121,4,0
1532148722,7,0
1532149321,6,0
1532149924,5,0
1532150522,5,0
1532151122,1,0
1532151721,9,0
1532152321,4,0
1532152922,2,0
1532153521,13,0
1532154122,2,0
1532155322,5,0
1532156522,3,0
